,ADMISSION DATA 2020,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
0,End of Season,,,,,,,,,,,,,,,,,,,,,,
1,"Level 8, 7 & 6 with ISCED Broad Field Code",,,,,,,,,,,,,,,,,,,,,,
2,The details  given are for general information only and do not form part of any contract. They are not intended for use in determining whether any individual applicant is or is not entitled to an offer of a higher education place,,,,,,,,,,,,,,,,,,,,,,
3,Random * = Not all on this points score were offered places,,,,,,,,,,,,,,,,,,,,,,
4,# = Test / Interview / Portfolio / Audition,,,,,,,,,,,,,,,,,,,,,,
5,AQA = All qualified applicants,,,,,,,,,,,,,,,,,,,,,,
6,avp = Available Places,,,,,,,,,,,,,,,,,,,,,,
7,v = New competition for available places resulted in a higher points cutoff,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,
9,CATEGORY (i.e.ISCED description),COURSE TITLE,COURSE CODE2,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
10,Business and administration,International Business,AC120,209,,,,209,,280,8,American College,,,,,,,,,,,
11,Humanities (except languages),Liberal Arts,AC137,252,,,,252,,270,8,American College,,,,,,,,,,,
12,Arts,"First Year Art & Design (Common Entry,portfolio)",AD101,#+matric,,,,#+matric,,#+matric,8,National College of Art and Design,#,,,,,,,,,,
13,Arts,Graphic Design and Moving Image Design (portfolio),AD102,#+matric,,,,#+matric,,#+matric,8,National College of Art and Design,#,,,,,,,,,,
14,Arts,Textile & Surface Design and Jewellery & Objects (portfolio),AD103,#+matric,,,,#+matric,,#+matric,8,National College of Art and Design,#,,,,,,,,,,
15,Education,"Education & Design or Fine Art (Second Level Teaching,portfolio))",AD202,#+matric,,,,#+matric,,#+matric,8,National College of Art and Design,#,,,,,,,,,,
16,Arts,Fine Art (portfolio),AD204,#+matric,,,,#+matric,,#+matric,8,National College of Art and Design,#,,,,,,,,,,
17,Arts,Fashion Design (portfolio),AD211,#+matric,,,,#+matric,,#+matric,8,National College of Art and Design,#,,,,,,,,,,
18,Arts,Product Design (portfolio),AD212,#+matric,,,,#+matric,,#+matric,8,National College of Art and Design,#,,,,,,,,,,
19,Arts,Visual Culture,AD215,377,,320,,320,,389,8,National College of Art and Design,,,,,,,,,,,
20,Arts,Illustration (portfolio),AD217,#+matric,,,,#+matric,,#+matric,8,National College of Art and Design,#,,,,,,,,,,
21,Information and Communication Technologies (ICTs),Interaction Design (portfolio),AD222,#+matric,,,,#+matric,,#+matric,8,National College of Art and Design,#,,,,,,,,,,
22,Information and Communication Technologies (ICTs),Software Design,AL600,AQA,,,,104,,279,6,Athlone Institute of Technology,,,,,,,,,,,
23,Engineering and engineering trades,Computer Engineering,AL601,AQA,,219,,112,,192,6,Athlone Institute of Technology,,avp,v,,,,,,,,
24,Engineering and engineering trades,Mechanical Engineering,AL602,AQA,,,,260,,424,6,Athlone Institute of Technology,,,,,,,,,,,
25,Architecture and construction,Civil Engineering,AL604,AQA,,AQA,,AQA,,244,6,Athlone Institute of Technology,,,,,,,,,,,
26,Engineering and engineering trades,Music and Instrument Technology,AL605,AQA,,AQA,,154,,306,6,Athlone Institute of Technology,,avp,,,,,,,,,
27,Health,Pharmacy Technician,AL630,295,,,,295,,379,6,Athlone Institute of Technology,,,,,,,,,,,
28,Health,Dental Nursing,AL631,300,,298,,298,,388,6,Athlone Institute of Technology,,,,,,,,,,,
29,Biological and related sciences,Applied Science,AL632,234,,,,234,,434,6,Athlone Institute of Technology,,,,,,,,,,,
30,Business and administration,Business,AL650,207,,,,207,,326,6,Athlone Institute of Technology,,,,,,,,,,,
31,Personal services,Culinary Arts,AL660,AQA,,AQA,,112,,270,6,Athlone Institute of Technology,,avp,,,,,,,,,
32,Personal services,Bar Supervision,AL661,AQA,,AQA,,101,,241,6,Athlone Institute of Technology,,avp,v,,,,,,,,
33,Personal services,Business (Sport and Recreation),AL663,AQA,,AQA,,120,,262,6,Athlone Institute of Technology,,avp,,,,,,,,,
34,Information and Communication Technologies (ICTs),Computer Engineering with Network Infrastructure,AL701,216,,,,216,,337,7,Athlone Institute of Technology,,,,,,,,,,,
35,Information and Communication Technologies (ICTs),Software Design with Artificial Intelligence for Cloud Computing,AL702,214,,,,214,,338,7,Athlone Institute of Technology,,,,,,,,,,,
36,Information and Communication Technologies (ICTs),Software Design with Virtual Reality and Gaming,AL703,216,,,,224,,337,7,Athlone Institute of Technology,,,,,,,,,,,
37,Information and Communication Technologies (ICTs),Computer Engineering,AL704,204,,,,204,,403,7,Athlone Institute of Technology,,,,,,,,,,,
38,Information and Communication Technologies (ICTs),Software Design with Mobile Apps and Connected Devices,AL705,216,,,,216,,337,7,Athlone Institute of Technology,,,,,,,,,,,
39,Engineering and engineering trades,Mechanical Engineering,AL710,223,,,,223,,337,7,Athlone Institute of Technology,,,,,,,,,,,
40,Engineering and engineering trades,Mechanical Engineering and Renewable Energy,AL711,228,,,,228,,369,7,Athlone Institute of Technology,,,,,,,,,,,
